Team,AvAge,GP,W,L,OL,PTS,PTS%,Teamgoals,Opponentgoals,SOW,SOL,SRS,SOS,Teamgoalspergame,Opponentgoalspergame,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO,Season
Winnipeg Jets,26.1,82,40,35,7,87,0.53,246,255,3,1,-0.11,-0.03,3,3.11,48,264,18.18,62,275,77.45,10,9,10.2,9.7,2448,10,2546,0.9,5,2017
Los Angeles Kings,29.1,82,39,35,8,86,0.524,199,201,2,4,-0.07,-0.02,2.43,2.45,46,241,19.09,38,245,84.49,5,3,9.2,9.3,2553,7.8,2120,0.905,9,2017
Florida Panthers,28.6,82,35,36,11,81,0.494,205,231,5,6,-0.3,0.03,2.5,2.82,45,265,16.98,36,245,85.31,8,8,9.9,9.9,2644,7.8,2595,0.911,4,2017
Detroit Red Wings,28.4,82,33,36,13,79,0.482,198,244,9,0,-0.41,0.04,2.41,2.98,38,252,15.08,45,235,80.85,3,9,8.8,9.2,2335,8.5,2507,0.903,4,2017
Dallas Stars,28.5,82,34,37,11,79,0.482,222,260,1,2,-0.48,-0.01,2.71,3.17,46,257,17.9,65,249,73.9,5,11,9.9,9.8,2505,8.9,2439,0.893,3,2017
Buffalo Sabres,26.4,82,33,37,12,78,0.476,199,231,2,6,-0.41,0.03,2.43,2.82,57,233,24.46,53,237,77.64,3,4,9,8.6,2491,8,2813,0.918,3,2017
New Jersey Devils,28.1,82,28,40,14,70,0.427,180,241,3,3,-0.67,0.08,2.2,2.94,44,251,17.53,53,261,79.69,6,12,10,9.7,2279,7.9,2572,0.906,3,2017
Arizona Coyotes,27.3,82,30,42,10,70,0.427,191,258,6,2,-0.76,0.01,2.33,3.15,38,235,16.17,59,260,77.31,8,7,9.9,8.6,2281,8.4,2797,0.908,3,2017
Vancouver Canucks,28.8,82,30,43,9,69,0.421,178,241,4,2,-0.73,0.01,2.17,2.94,32,227,14.1,52,223,76.68,2,6,7.9,7.9,2273,7.8,2605,0.907,3,2017
Colorado Avalanche,27.6,82,22,56,4,48,0.293,165,276,1,2,-1.32,0.05,2.01,3.37,30,239,12.55,64,274,76.64,5,2,9.4,8.2,2303,7.2,2603,0.894,3,2017
