Rk,Player,Age,Pos,GP,Goals,Assists,PTS,+/-,PIM,ESGoals,PPGoals,SHGoals,GWGoals,ESAssists,PPAssists,SHAssists,Shots,Shot%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%,Season
31,Ondrej Kase,24,RW,6,0,1,1,0,4,0,0,0,0,1,0,0,9,0,87,14:32:00,-0.1,0.1,0,4,4,0,0,NA,2020
32,Jack Studnicka,20,C,2,0,1,1,2,2,0,0,0,0,1,0,0,3,0,24,12:08:00,0,0.1,0.1,0,2,9,6,60,2020
33,Anton Blidh,24,LW,7,0,0,0,-1,0,0,0,0,0,0,0,0,9,0,81,11:31:00,-0.2,0.1,-0.2,5,20,0,1,0,2020
34,Paul Carey,31,C,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,NA,6,06:22:00,0,0,0,1,0,0,0,NA,2020
35,Trent Frederic,21,C,2,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,13,06:26:00,0,0,-0.1,0,8,0,0,NA,2020
36,Cameron Hughes,23,C,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,NA,10,09:53:00,0,0,-0.1,2,1,0,0,NA,2020
37,Urho Vaakanainen,21,D,5,0,0,0,2,0,0,0,0,0,0,0,0,2,0,84,16:51:00,-0.1,0.3,0.2,3,8,0,0,NA,2020
1,Brad Marchand,32,LW,37,19,29,48,15,36,13,3,3,3,15,12,2,92,20.7,709,19:10:00,4.9,1.6,6.5,9,47,7,15,31.8,2021
2,Patrice Bergeron,35,C,39,16,19,35,13,12,8,6,2,1,12,6,1,132,12.1,725,18:36:00,3.2,1.6,4.8,28,39,529,315,62.7,2021
3,David Pastrnak,24,RW,32,16,16,32,1,18,10,6,0,2,10,6,0,129,12.4,624,19:29:00,3.2,0.9,4.1,10,24,2,5,28.6,2021
4,David Krejci,34,C,35,2,21,23,0,12,0,2,0,0,12,9,0,54,3.7,610,17:25:00,0.9,0.9,1.7,16,18,205,168,55,2021
5,Craig Smith,31,C,38,8,14,22,9,14,6,2,0,3,13,1,0,89,9,565,14:52:00,1.5,1.2,2.7,7,50,8,10,44.4,2021
6,Charlie McAvoy,23,D,35,4,18,22,10,26,4,0,0,0,12,5,1,68,5.9,853,24:23:00,1.6,3.1,4.7,61,40,0,0,NA,2021
7,Nick Ritchie,25,LW,39,10,10,20,-10,26,5,5,0,1,6,4,0,93,10.8,629,16:08:00,1.3,0.5,1.8,12,71,0,4,0,2021
8,Charlie Coyle,28,C,38,5,9,14,-5,18,4,0,1,1,7,2,0,56,8.9,633,16:39:00,0.2,0.7,0.9,19,48,198,216,47.8,2021
9,Matt Grzelcyk,27,D,25,3,10,13,4,14,2,1,0,0,5,5,0,59,5.1,489,19:33:00,1,1.6,2.7,24,11,0,0,NA,2021
10,Jake Debrusk,24,LW,26,4,5,9,-1,2,2,2,0,1,4,1,0,52,7.7,395,15:12:00,0.2,0.5,0.8,12,26,5,7,41.7,2021
11,Jakub Zboril,23,D,37,0,8,8,-3,14,0,0,0,0,6,2,0,30,0,653,17:40:00,0,1.5,1.5,28,57,0,0,NA,2021
12,Trent Frederic,22,C,36,4,1,5,-5,55,4,0,0,3,1,0,0,41,9.8,410,11:23:00,-0.2,0.4,0.2,13,50,31,30,50.8,2021
13,Anders Bjork,24,LW,30,2,3,5,-8,10,2,0,0,0,3,0,0,22,9.1,369,12:18:00,-0.3,0.2,-0.1,9,37,0,1,0,2021
14,Chris Wagner,29,C,29,2,3,5,-9,24,1,0,1,0,3,0,0,37,5.4,332,11:27:00,-0.2,0.1,-0.1,16,49,38,34,52.8,2021
15,Jeremy Lauzon,23,D,25,1,4,5,1,33,1,0,0,0,3,0,1,34,2.9,470,18:48:00,0,1.3,1.4,31,56,0,0,NA,2021
16,Connor Clifton,25,D,32,0,5,5,-1,19,0,0,0,0,4,0,1,31,0,583,18:12:00,-0.2,1.5,1.3,39,84,0,0,NA,2021
17,Sean Kuraly,28,C,31,2,2,4,-11,12,2,0,0,2,1,0,1,53,3.8,426,13:45:00,-0.6,0.2,-0.4,14,63,145,103,58.5,2021
18,Brandon Carlo,24,D,23,2,1,3,1,10,2,0,0,1,1,0,0,31,6.5,425,18:29:00,0,1.2,1.2,33,32,0,0,NA,2021
19,Jack Studnicka,21,C,19,1,2,3,-3,0,1,0,0,0,2,0,0,25,4,239,12:33:00,-0.3,0.2,0,8,7,43,50,46.2,2021
20,Karson Kuhlman,25,C,15,2,0,2,-4,0,2,0,0,0,0,0,0,23,8.7,152,10:06:00,0,0.1,0,3,19,1,2,33.3,2021
21,Kevan Miller,33,D,18,0,2,2,0,13,0,0,0,0,2,0,0,14,0,348,19:20:00,-0.2,0.9,0.7,21,39,0,0,NA,2021
22,John Moore,30,D,5,0,2,2,-3,2,0,0,0,0,1,1,0,8,0,105,20:59:00,0.1,0,0.1,6,9,0,0,NA,2021
23,Urho Vaakanainen,22,D,8,0,2,2,-2,2,0,0,0,0,2,0,0,13,0,149,18:38:00,0,0.2,0.3,17,3,0,0,NA,2021
24,Anton Blidh,25,LW,8,1,0,1,-4,6,1,0,0,0,0,0,0,9,11.1,82,10:16:00,0,0,-0.1,4,22,0,2,0,2021
25,Steven Kampfer,32,D,13,1,0,1,-1,2,0,1,0,0,0,0,0,21,4.8,223,17:09:00,-0.1,0.5,0.4,15,14,0,0,NA,2021
26,Greg McKegg,28,C,4,1,0,1,-2,2,1,0,0,0,0,0,0,4,25,36,09:01:00,0.1,0,0.1,1,7,17,9,65.4,2021
27,Jack Ahcan,23,D,2,0,0,0,-3,0,0,0,0,0,0,0,0,4,0,39,19:40:00,0,-0.1,-0.2,3,2,0,0,NA,2021
28,Jaroslav Halak,35,G,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1010,59:25:00,0,0,2.8,0,0,0,0,NA,2021
29,Ondrej Kase,25,RW,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,19,09:21:00,-0.1,0,0,0,0,0,0,NA,2021
30,Par Lindholm,29,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,13,12:55:00,0,0,0,0,0,4,1,80,2021
31,Tuukka Rask,33,G,15,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,874,58:14:00,0,0,2.2,0,0,0,0,NA,2021
32,Zachary Senyshyn,23,RW,7,0,0,0,-1,2,0,0,0,0,0,0,0,9,0,68,09:47:00,-0.2,0.1,-0.1,0,11,0,0,NA,2021
33,Oskar Steen,22,C,2,0,0,0,0,2,0,0,0,0,0,0,0,5,0,23,11:37:00,-0.1,0,0,0,5,0,0,NA,2021
34,Jeremy Swayman,22,G,3,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,179,59:33:00,0,0,0.8,0,0,0,0,NA,2021
35,Jarred Tinordi,28,D,11,0,0,0,-6,5,0,0,0,0,0,0,0,13,0,190,17:14:00,-0.2,0,-0.2,11,34,0,0,NA,2021
36,Daniel Vladari,23,G,5,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,300,60:01:00,0,0,0.5,0,0,0,0,NA,2021
